#deck:MLA-C01
#columns:Front	Back	Tags
[HF] What is the primary benefit of Parquet over CSV for ML on S3?	Columnar storage, compression, faster selective reads; better for large training datasets	mla-c01::Domain1_Data
[HF] When should you use Amazon SageMaker Feature Store?	When you need consistent features between training and real-time inference with online and offline stores	mla-c01::Domain1_Data
[HF] What is the difference between Feature Store online and offline stores?	Offline: batch training at scale; Online: low-latency lookup for inference	mla-c01::Domain1_Data
[HF] Which service provides visual, no-code data preparation?	AWS Glue DataBrew	mla-c01::Domain1_Data
[HF] Which service is best for serverless SQL queries on S3 data lakes?	Amazon Athena	mla-c01::Domain1_Data
[HF] What does AWS Glue Data Quality help with?	Validating dataset quality rules and detecting issues in pipelines	mla-c01::Domain1_Data
[HF] How does Amazon Kinesis Data Firehose differ from Kinesis Data Streams?	Firehose: managed delivery to S3/Redshift/Splunk; Streams: custom real-time consumers	mla-c01::Domain1_Data
[HF] What format does SageMaker prefer for many built-in algorithms on S3?	RecordIO, CSV, or Parquet depending on algorithm; tabular often Parquet	mla-c01::Domain1_Data
[HF] What is class imbalance (CI) in pre-training bias?	Unequal representation of classes in training labels	mla-c01::Domain1_Data
[HF] What is Difference in Proportions of Labels (DPL)?	Pre-training bias metric comparing label proportions across facets	mla-c01::Domain1_Data
[HF] Which tool detects pre-training bias in SageMaker?	SageMaker Clarify	mla-c01::Domain1_Data
[HF] Which service labels data at scale with human workforce management?	Amazon SageMaker Ground Truth	mla-c01::Domain1_Data
[HF] When use Mechanical Turk vs Ground Truth?	Ground Truth orchestrates labeling jobs; MTurk can be integrated for workers	mla-c01::Domain1_Data
[HF] What is Amazon Augmented AI (A2I) used for?	Human review loops for low-confidence ML predictions	mla-c01::Domain1_Data
[HF] How treat missing values in exam scenarios for tabular data?	Imputation, removal, or model-specific handling via DataBrew/Wrangler/Glue	mla-c01::Domain1_Data
[HF] What is one-hot encoding used for?	Low-cardinality categorical variables converted to binary columns	mla-c01::Domain1_Data
[HF] When use label encoding vs one-hot?	Tree-based models may tolerate label encoding; linear models often need one-hot	mla-c01::Domain1_Data
[HF] What storage supports POSIX shared file system for training?	Amazon EFS or Amazon FSx	mla-c01::Domain1_Data
[HF] S3 Transfer Acceleration use case?	Faster uploads from distant geographic clients to S3 bucket	mla-c01::Domain1_Data
[HF] Lake Formation primary value?	Centralized permissions and governance for data lake	mla-c01::Domain1_Data
Amazon Macie exam use case?	Discover and protect sensitive data like PII in S3	mla-c01::Domain1_Data
How encrypt ML data at rest on S3?	SSE-S3, SSE-KMS, or DSSE with KMS keys	mla-c01::Domain1_Data
Stratified split purpose?	Preserve class distribution across train/validation/test	mla-c01::Domain1_Data
Synthetic data generation use case?	Address class imbalance or privacy-preserving augmentation	mla-c01::Domain1_Data
Glue job bookmark benefit?	Incremental processing without reprocessing all data	mla-c01::Domain1_Data
EMR best for?	Large-scale distributed Spark data processing	mla-c01::Domain1_Data
Data Wrangler export options?	Python script, Jupyter notebook, SageMaker Pipeline step	mla-c01::Domain1_Data
